"","x"
"400",840.7744
"401",847.90527
"402",848.53066
"403",849.3973
"404",849.3973
"405",854.58746
"406",864.04149
"407",864.14203
"408",864.25334
"409",864.29931
"410",866.14939
"411",867.34879
"412",869.61035
"413",878.08153
"414",886.8408
"415",889.08632
"416",893.66431
"417",895.52968
"418",900.759
"419",900.759
"420",900.80505
"421",901.25827
"422",901.93797
"423",901.93797
"424",901.93797
"425",901.93797
"426",905.4303
"427",906.23613
"428",910.00535
"429",911.33431
"430",916.10734
"431",916.23007
"432",916.32074
"433",916.54043
"434",916.8829
"435",917.00016
"436",917.80371
"437",922.46239
"438",922.46239
"439",922.46239
"440",922.46239
"441",922.46239
"442",922.46239
"443",925.41464
"444",925.43751
"445",925.45726
"446",927.60925
"447",927.76453
"448",932.91318
"449",933.29319
"450",935.49859
"451",935.68419
"452",936.4611
"453",945.60381
"454",945.75778
"455",948.06774
"456",948.06774
"457",957.42495
"458",957.82515
"459",958.19876
"460",959.06682
"461",960.72483
"462",964.02269
"463",964.4053
"464",964.4053
"465",965.11526
"466",974.36041
"467",984.16582
"468",984.58902
"469",986.87177
"470",986.91267
"471",987.08888
"472",990.76999
"473",992.32175
"474",992.35133
"475",996.399
"476",999.84875
"477",1000.62316
"478",1006.43619
"479",1006.43619
"480",1008.39753
"481",1012.63841
"482",1012.84042
"483",1013.25462
"484",1013.47083
"485",1013.47083
"486",1013.47083
"487",1015.63757
"488",1018.6323
"489",1022.6516
"490",1026.54932
"491",1026.79666
"492",1026.94805
"493",1027.05586
"494",1028.1546
"495",1032.63295
"496",1038.9731
"497",1039.09058
"498",1039.09058
"499",1039.27151
"500",1039.985
"501",1044.97446
"502",1050.40149
"503",1054.92993
"504",1057.43595
"505",1057.92088
"506",1058.02347
"507",1059.46934
"508",1062.77827
"509",1063.24328
"510",1063.3406
"511",1063.55213
"512",1063.6367
"513",1063.6367
"514",1063.6367
"515",1063.6367
"516",1063.6367
"517",1063.6367
"518",1063.6367
"519",1063.6367
"520",1063.6367
"521",1063.6367
"522",1063.6367
"523",1063.6367
"524",1063.6367
"525",1063.6367
"526",1063.6367
"527",1063.6367
"528",1064.14216
"529",1064.98538
"530",1065.10006
"531",1066.36243
"532",1068.28737
"533",1068.85526
"534",1070.40332
"535",1076.69596
"536",1077.6131
"537",1077.80533
"538",1079.13996
"539",1084.78597
"540",1085.34159
"541",1086.7396
"542",1087.11265
"543",1089.43745
"544",1089.43745
"545",1093.13042
"546",1096.21595
"547",1096.71497
"548",1097.01095
"549",1099.97379
"550",1103.08818
"551",1106.56417
"552",1110.06649
"553",1111.75911
"554",1111.75911
"555",1112.47521
"556",1113.09233
"557",1114.5716
"558",1116.58643
"559",1119.69332
"560",1128.42661
"561",1128.60724
"562",1131.45101
"563",1131.84644
"564",1131.84644
"565",1131.84644
"566",1131.84644
"567",1131.84644
"568",1132.08836
"569",1133.65818
"570",1147.44205
"571",1151.13973
"572",1151.19824
"573",1151.83824
"574",1153.32015
"575",1153.38515
"576",1153.38515
"577",1153.38515
"578",1153.38515
"579",1153.38515
"580",1153.38515
"581",1153.38515
"582",1153.38515
"583",1153.38515
"584",1153.38515
"585",1153.38515
"586",1153.38515
"587",1153.38515
"588",1153.38515
"589",1153.38515
"590",1153.38515
"591",1153.38515
"592",1153.38515
"593",1153.38515
"594",1153.38515
"595",1153.38515
"596",1153.38515
"597",1153.38515
"598",1153.38515
"599",1153.38515
"600",1153.38515
"601",1153.45014
"602",1153.45014
"603",1153.45014
"604",1158.70364
"605",1158.79716
"606",1159.40802
"607",1159.97856
"608",1163.501
"609",1163.58663
"610",1164.1406
"611",1164.20327
"612",1164.66693
"613",1164.96786
"614",1165.95759
"615",1166.34398
"616",1166.51877
"617",1167.19673
"618",1167.71842
"619",1169.36779
"620",1170.45781
"621",1170.45781
"622",1170.66471
"623",1171.95287
"624",1172.15761
"625",1174.10653
"626",1179.55229
"627",1180.29168
"628",1180.29168
"629",1181.02817
"630",1181.02817
"631",1181.02817
"632",1181.06684
"633",1184.36521
"634",1184.3834
"635",1186.69273
"636",1188.60796
"637",1192.09817
"638",1192.34899
"639",1194.41525
"640",1194.67689
"641",1194.90411
"642",1197.5038
"643",1197.53329
"644",1199.08539
"645",1199.84549
"646",1199.87976
"647",1200.29348
"648",1200.98377
"649",1201.0648
"650",1206.74029
"651",1206.83857
"652",1206.83857
"653",1208.16929
"654",1209.01175
"655",1209.05137
"656",1209.88505
"657",1213.65583
"658",1215.29355
"659",1215.97949
"660",1216.73591
"661",1216.77274
"662",1216.95679
"663",1217.2953
"664",1219.08027
"665",1219.2832
"666",1219.2832
"667",1219.2832
"668",1219.2832
"669",1219.4143
"670",1219.54984
"671",1219.58233
"672",1219.74283
"673",1219.74283
"674",1219.83967
"675",1219.85526
"676",1219.85526
"677",1219.85526
"678",1219.85526
"679",1219.85526
"680",1219.85526
"681",1219.85526
"682",1219.85526
"683",1219.85526
"684",1219.96352
"685",1219.96793
"686",1220.06061
"687",1220.06061
"688",1220.06061
"689",1220.06061
"690",1220.06061
"691",1220.06061
"692",1220.06061
"693",1220.06061
"694",1220.06061
"695",1220.38744
"696",1220.84144
"697",1220.99793
"698",1222.39316
"699",1222.39316
"700",1222.97235
"701",1223.17075
"702",1223.94832
"703",1223.94832
"704",1224.52194
"705",1224.9968
"706",1225.50342
"707",1225.80335
"708",1225.93725
"709",1225.93725
"710",1226.07115
"711",1226.28003
"712",1227.05751
"713",1228.39385
"714",1229.66231
"715",1233.8146
"716",1234.32038
"717",1234.44285
"718",1234.45709
"719",1234.59007
"720",1237.16333
"721",1237.70222
"722",1237.94041
"723",1239.50102
"724",1239.62136
"725",1240.66382
"726",1240.92604
"727",1241.04841
"728",1242.19511
"729",1242.32471
"730",1242.34511
"731",1242.4799
"732",1243.37937
"733",1243.64574
"734",1243.74346
"735",1244.14767
"736",1244.69676
"737",1245.07372
"738",1245.71044
"739",1245.84786
"740",1245.89258
"741",1246.25125
"742",1246.96853
"743",1246.99876
"744",1247.26454
"745",1247.26454
"746",1248.04161
"747",1248.0511
"748",1250.84033
"749",1250.91437
"750",1252.70427
"751",1254.45725
"752",1254.71313
"753",1256.26316
"754",1257.13111
"755",1257.13111
"756",1258.19379
"757",1258.93526
"758",1260.47682
"759",1260.49031
"760",1260.52181
"761",1260.55331
"762",1261.25408
"763",1261.25408
"764",1262.33568
"765",1262.83511
"766",1263.34419
"767",1263.57113
"768",1264.12051
"769",1264.36327
"770",1267.47227
"771",1267.47227
"772",1267.47227
"773",1268.53641
"774",1268.53641
"775",1268.78317
"776",1269.02656
"777",1269.02656
"778",1269.02656
"779",1269.84531
"780",1271.33941
"781",1271.35771
"782",1271.38512
"783",1271.77621
"784",1272.13469
"785",1272.16823
"786",1273.32697
"787",1273.32697
"788",1273.55896
"789",1273.76843
"790",1275.05029
"791",1275.2615
"792",1275.89026
"793",1276.14461
"794",1276.4282
"795",1276.4282
"796",1276.7957
"797",1276.79579
"798",1278.11426
"799",1279.52911
"800",1280.67371
"801",1280.67371
"802",1280.79599
"803",1281.66578
"804",1282.24656
"805",1283.58488
"806",1283.58488
"807",1283.58488
"808",1283.77648
"809",1283.8085
"810",1284.43939
"811",1284.55222
"812",1284.57331
"813",1285.03449
"814",1285.32797
"815",1285.32797
"816",1286.13842
"817",1286.32167
"818",1286.6888
"819",1286.6888
"820",1286.91571
"821",1287.44757
"822",1287.65581
"823",1289.20392
"824",1289.77942
"825",1292.11175
"826",1292.31081
"827",1292.39376
"828",1292.39376
"829",1292.56667
"830",1294.63345
"831",1295.99514
"832",1296.58207
"833",1296.96605
"834",1296.99396
"835",1299.10447
"836",1301.23308
"837",1304.54496
"838",1306.14729
"839",1306.66147
"840",1308.63038
"841",1309.47903
"842",1310.05611
"843",1310.28952
"844",1310.72034
"845",1310.83257
"846",1313.25873
"847",1314.00029
"848",1314.03445
"849",1314.03445
"850",1314.08752
"851",1315.9918
"852",1316.49787
"853",1319.5439
"854",1319.69403
"855",1320.23957
"856",1320.23957
"857",1320.23957
"858",1322.56611
"859",1322.56611
"860",1322.56611
"861",1322.61354
"862",1322.67629
"863",1322.67629
"864",1324.98128
"865",1324.98128
"866",1325.15003
"867",1325.27205
"868",1325.27205
"869",1325.61617
"870",1326.35099
"871",1326.39112
"872",1326.44363
"873",1326.57937
"874",1328.01393
"875",1330.32211
"876",1330.32211
"877",1331.75321
"878",1331.93316
"879",1331.97011
"880",1332.77758
"881",1333.16652
"882",1333.16652
"883",1335.44718
"884",1338.92372
"885",1340.51293
"886",1340.52985
"887",1340.54677
"888",1340.77833
"889",1341.71964
"890",1341.88508
"891",1342.06617
"892",1344.42774
"893",1344.98432
"894",1345.13729
"895",1345.18808
"896",1345.93177
"897",1345.95004
"898",1345.97989
"899",1346.36402
"900",1346.52762
"901",1346.5339
"902",1346.6123
"903",1346.70848
"904",1347.53199
"905",1348.08345
"906",1348.08345
"907",1348.1599
"908",1349.0387
"909",1349.07055
"910",1349.63294
"911",1349.79753
"912",1349.81546
"913",1351.41141
"914",1351.9622
"915",1353.04477
"916",1353.96107
"917",1354.28719
"918",1355.39136
"919",1355.92955
"920",1356.82403
"921",1357.37916
"922",1357.39078
"923",1358.38551
"924",1358.65258
"925",1359.0375
"926",1361.789
"927",1362.24192
"928",1362.24192
"929",1362.24192
"930",1362.24192
"931",1362.24192
"932",1362.25896
"933",1362.25896
"934",1362.25896
"935",1362.27238
"936",1362.48956
"937",1362.66669
"938",1362.92246
"939",1363.69946
"940",1365.92577
"941",1366.03044
"942",1366.03044
"943",1367.58493
"944",1368.06996
"945",1368.06996
"946",1368.22248
"947",1368.45436
