"","x"
"400",840.97328
"401",847.92604
"402",848.12006
"403",849.28046
"404",849.49672
"405",855.53193
"406",863.6147
"407",863.71329
"408",864.05417
"409",864.21359
"410",865.82122
"411",868.17733
"412",877.4922
"413",881.6429
"414",887.96604
"415",888.72261
"416",894.56786
"417",896.61249
"418",900.45137
"419",900.45137
"420",900.77701
"421",901.49831
"422",903.49053
"423",903.49053
"424",903.49053
"425",903.49053
"426",905.00601
"427",908.10785
"428",911.33554
"429",911.50152
"430",915.29245
"431",915.44938
"432",915.75805
"433",916.15015
"434",916.2248
"435",916.2248
"436",917.50429
"437",922.155
"438",922.155
"439",922.155
"440",922.155
"441",922.155
"442",922.155
"443",924.75497
"444",924.83727
"445",925.44692
"446",926.72271
"447",927.5772
"448",932.92613
"449",933.25357
"450",934.65852
"451",935.64129
"452",936.02861
"453",944.8485
"454",945.41158
"455",948.63475
"456",948.63475
"457",958.07113
"458",958.76558
"459",959.39533
"460",959.96938
"461",961.95026
"462",965.87481
"463",966.263
"464",966.263
"465",966.94873
"466",972.50988
"467",984.01414
"468",984.23256
"469",988.73649
"470",989.28964
"471",989.52701
"472",990.04393
"473",992.20981
"474",992.70476
"475",995.8063
"476",999.52631
"477",1001.69069
"478",1006.5519
"479",1007.16128
"480",1007.72377
"481",1012.63593
"482",1012.75534
"483",1012.90823
"484",1012.90823
"485",1012.90823
"486",1012.90823
"487",1015.33843
"488",1019.28085
"489",1024.26098
"490",1026.77081
"491",1028.46039
"492",1028.68433
"493",1028.85525
"494",1028.8693
"495",1033.93953
"496",1038.50099
"497",1038.6711
"498",1038.6711
"499",1039.59396
"500",1039.71966
"501",1047.08681
"502",1050.12639
"503",1055.68785
"504",1057.28771
"505",1057.87256
"506",1058.33252
"507",1058.78738
"508",1062.51987
"509",1063.21946
"510",1063.2938
"511",1063.36814
"512",1063.49257
"513",1063.49257
"514",1063.49257
"515",1063.49257
"516",1063.49257
"517",1063.49257
"518",1063.49257
"519",1063.49257
"520",1063.49257
"521",1063.49257
"522",1063.49257
"523",1063.49257
"524",1063.49257
"525",1063.49257
"526",1063.49257
"527",1063.68098
"528",1064.14251
"529",1064.91586
"530",1064.93106
"531",1066.68435
"532",1068.14689
"533",1070.00932
"534",1070.33293
"535",1075.44593
"536",1076.33215
"537",1078.59351
"538",1078.6583
"539",1084.765
"540",1084.92768
"541",1085.7554
"542",1086.53023
"543",1090.18089
"544",1090.18089
"545",1092.90676
"546",1095.79431
"547",1096.21855
"548",1096.55963
"549",1099.96591
"550",1102.81178
"551",1106.54335
"552",1109.79681
"553",1110.88889
"554",1110.88889
"555",1113.17899
"556",1113.46042
"557",1117.35879
"558",1117.45756
"559",1119.78396
"560",1128.21407
"561",1128.315
"562",1131.42291
"563",1131.79538
"564",1131.79538
"565",1131.79538
"566",1131.79538
"567",1131.79538
"568",1132.06035
"569",1133.73287
"570",1149.63106
"571",1150.91774
"572",1151.03768
"573",1151.70272
"574",1153.01111
"575",1153.25479
"576",1153.25479
"577",1153.25479
"578",1153.25479
"579",1153.25479
"580",1153.25479
"581",1153.25479
"582",1153.25479
"583",1153.25479
"584",1153.25479
"585",1153.25479
"586",1153.25479
"587",1153.25479
"588",1153.25479
"589",1153.25479
"590",1153.25479
"591",1153.25479
"592",1153.25479
"593",1153.25479
"594",1153.25479
"595",1153.25479
"596",1153.25479
"597",1153.25479
"598",1153.25479
"599",1153.25479
"600",1153.25479
"601",1153.72856
"602",1156.51643
"603",1156.6088
