"X064.EPL15_f_Mzb1_ESI.mzML";"X064.EPL16_f_Mzb1_ESI.mzML";"X064.EPL34_f_Mzb1_ESI.mzML";"X64Z.61026_f_WT_ESI.mzML";"X64Z.61027_f_WT_ESI.mzML";"X64Z.61028_f_WT_ESI.mzML"
"M69.06957T482.52786";0.749688896929155;-0.476988395835553;0.175597063998315;0.433467937476663;-0.0576564993876176;-0.824109003180958
"M76.03928T246.73204";1.16620639805245;0.0883928580316867;-0.980539122268613;0.859151690805174;-0.50536099273727;-0.627850831883426
"M80.04933T146.99011";0.447432047609017;-1.24417366179661;-0.388118379569228;1.27287190004584;0.467059584382477;-0.555071490671497
"M86.05998T109.07659";-0.429038977080385;-0.551000323563311;0.129163287074895;-0.126388389293548;0.347760454673793;0.629503948188555
"M87.08068T894.06206";0.825229497266214;0.450658925542033;-0.390359371723121;0.740030592233191;-1.36219486546463;-0.263364777853694
"M87.04384T757.09135";0.342092796805418;-0.20418237836352;-0.797164400468087;0.725529007592776;0.0469017374423758;-0.113176763008949
"M89.05961T219.19048";0.194810055676498;-0.757046857735046;-0.160460637662642;0.194810055676498;0.84366905644884;-0.315781672404148
"M89.05961T285.56928";0.0512575632670399;-0.90813390013658;0.0723643364146126;0.374570432368503;0.816366300454483;-0.406424732368076
"M89.05961T145.52516";0.0425497027875766;-0.480941523974562;-0.379848300072278;0.596689882217472;0.63163174739821;-0.410081508356439
"M89.05961T589.64335";0.840886021821037;-0.886176180244248;0.584055580262166;0.110934100865233;-0.201534057421078;-0.448165465283108
"M90.06317T218.41445";0.601958977448728;-0.88659787421925;-0.849250094733894;0.505958178071935;0.974416770608996;-0.34648595717651
"M91.05403T912.81811";0.124502994051065;0.708099827248629;0.582781075660545;-0.339695168438824;-0.925647962567419;-0.150040765954001
"M91.05325T864.11202";1.04729830038909;-0.726355214024915;1.49660362074573;-1.14264398097655;-0.0752297615952483;-0.599672964538104
"M91.05424T233.16007";0.786597341949034;-0.258868202283747;-0.496001264771963;-0.218738039011868;0.370589624025324;-0.183579459906773
"M91.05399T164.32091";0.214271368318418;-0.63283617427673;0.274163285087285;0.756589444465972;-0.272797895836621;-0.339390027758331
"M92.04976T122.87136";0.11664257119801;-1.13294517729354;0.0594622707077452;1.21237167835793;0.0224682694963147;-0.277999612466453
"M100.03946T122.94793";0.453347748751633;-0.236125278697852;-0.86918570350373;0.701817612839509;-0.0506888352375458;0.000834455847966831
"M101.09589T878.83519";0.480009258033678;0.954347244938839;-0.0535482394783751;0.428582876889947;0.221832867116302;-2.03122400750039
"M102.04637T164.78135";0.00354761112753623;-0.516983903053987;0.177059184258812;0.491744251603691;0.337221556785175;-0.492588700721228
"M103.05444T414.19143";0.18612601094189;-1.04454843292233;-0.576390187568646;1.17047157139133;1.1498612673381;-0.885520229180348
"M103.05442T164.78135";0.148454117742961;-0.576411959576709;0.148454117742961;0.4154243585289;0.282003883532127;-0.417924517970223
"M104.05763T164.66144";-0.0984563735119472;-0.551134412684962;0.240890992359252;0.583392912666988;0.281364037687635;-0.456057156516983
"M104.05779T413.99273";0.059084679916262;-0.998982552621768;-0.512348098731764;1.22203299161181;1.0929927784071;-0.862779798581627
"M104.10724T97.59068";0.383880739056857;-0.159610811929699;0.283762266887261;0.759523566011588;-0.108169676117138;-1.15938608390885
"M105.03397T198.82424";0.0628267834121865;-1.26896980293099;-0.600988090153581;1.42507937148112;0.756732033991524;-0.374680295800267
"M105.06998T368.96454";0.66417840195503;-1.31346207972908;-0.795887514155912;1.15687610583469;1.31843981684455;-1.03014473074929
"M106.03692T198.82424";0.186548220328721;-1.1902030678692;-0.662127865342831;1.3283902172605;0.773664695966735;-0.436272200343925
"M106.06515T297.53069";-2.15406010920797;1.05149201868844;0.375777373476784;0.194050349184545;0.464544443367563;0.0681959244906333
"M107.04912T821.88600";1.09423550321693;-0.204286591985195;0.432967979338966;-0.818079322691788;0.973728242234416;-1.47856581011333
"M107.04892T946.63707";0.651371147216153;-0.809072193625434;-0.585654412603907;0.741708193889463;0.49200392431877;-0.49035665919506
"M108.04453T122.94793";0.160430349962267;-0.951794285207778;-0.308274128438693;1.19656331810087;0.295754337302863;-0.392679591719527
"M108.05232T821.78326";1.06208778009289;-0.146821888151119;0.597501325243328;-0.693992520920737;0.942889063271652;-1.76166375953601
"M108.05162T946.29202";0.388307956462755;-0.864441422825449;-0.347178711137525;0.111467987023213;0.777208480348436;-0.0653642898714301
"M109.04793T122.94793";0.0737275320637755;-1.03708854806027;0.0366423869307861;1.24338142667284;-0.0168321100278461;-0.299830687579288
"M109.10116T464.43771";0.723622057602466;-0.417984828876831;-0.257508543446874;0.519884417497403;0.189233654619496;-0.757246757395642
"M110.07110T105.42414";0.0996376638732276;-1.21468809384862;0.646558013964567;0.505604577868788;-0.516460768622399;0.479348606764417
"M111.00793T1131.81235";0.761859037424481;-0.300822077994534;-1.26228179279124;0.693482996727853;0.00934059430382646;0.0984212423296102
"M111.02038T556.83071";0.868266752617315;-1.27097585243489;-0.621371094374513;1.05362463959206;0.842726122718297;-0.872270568118275
"M111.11708T482.45970";0.774378276970829;-0.571519060294568;0.211877309693436;0.2959349887083;0.0569635054868986;-0.767635020564884
"M111.11696T1164.92447";0.588771684915338;-0.472557166663569;-0.511580375359397;0.601157997425049;0.266765026346133;-0.472557166663569
"M112.05090T106.75984";0.682421529056065;0.394866600748678;0.21476233701307;-2.55406587849784;0.670132966420673;0.591882445259349
"M112.12017T482.07033";0.759562055937278;-0.435482777564355;0.346944507360365;0.340244181166976;-0.24391835058665;-0.767349616313624
"M113.03486T100.54604";-0.742654353323193;0.190094781543761;0.141092604874439;-0.273220152720096;0.898916065853312;-0.214228946228223
"M112.99991T874.26366";1.28491002425792;-0.164367551091643;0.751924456659105;-2.81009999849343;-0.138759925523101;1.07639299419115
"M114.12770T590.91365";-0.0165410951935967;0.684391724195173;-0.409468676172735;-0.0656230413463648;-0.66276795926002;0.470009047777556
"M114.12767T396.79763";-0.0224782157283936;0.733207286087899;-0.745042780926814;0.00900093886517926;-0.330792392028245;0.35610516373038
