"X064.EPL03_m_Mzb1_ESI.mzML";"X064.EPL05_m_Mzb1_ESI.mzML";"X064.EPL07_f_Mzb1_ESI.mzML";"X64Z.61018_m_WT_ESI.mzML";"X64Z.61019_m_WT_ESI.mzML";"X64Z.61020_m_WT_ESI.mzML"
"M56.92708T1428.24587";-1.26417638235537;0.00270822278855302;-0.558348240808202;-0.37706235318077;0.993779544368778;1.20309920918702
"M57.08122T1428.24587";-0.136483930446578;0.174982941189044;-1.33313166233957;0.349829867060269;1.19585779215492;-0.251055007618089
"M57.23562T1428.25461";-0.973304923164221;0.165175357488715;-0.850237665477712;0.192108071429967;1.30571202409868;0.160547135624563
"M59.04867T814.25105";-1.74266939494607;0.458175450633267;0.291906054394059;0.655350114295742;-0.139644091492413;0.476881867115404
"M69.06956T482.32035";-0.924447673079107;0.14732270595911;0.164500300057812;0.555903589736615;0.104376745746609;-0.0476556684210533
"M76.03933T247.90631";-0.371651775654409;-0.187157907494606;-0.639021904069628;-0.623604289111731;0.60960625535149;1.21182962097889
"M80.04931T147.21794";-1.16719086339433;0.631447912799848;-0.524753459892258;0.943353906464873;0.276000608415969;-0.158858104394088
"M86.06001T107.93537";-0.107042272872785;1.24567566925867;-0.309525624470996;0.356192133589656;-0.225915862974237;-0.959384042530316
"M87.08055T872.10153";-0.764678644848583;0.839133209748988;0.730537286296995;1.02576643572716;-1.20581517001025;-0.624943116914305
"M87.08065T756.81782";-0.716483181292484;-0.518332051557351;1.03319577681906;-0.807394332574273;-0.902624934024038;1.91163872262909
"M88.02147T214.51591";-2.32084830219427;1.47477515882955;-2.73524744879102;1.11415727479149;1.57622724782726;0.89093606953699
"M89.03862T233.44989";0.195682291673365;0.52850032846895;0.681745448912893;-0.728727958189059;0.284572900227504;-0.961773011093658
"M89.05956T285.27046";-0.233731554958123;0.0424464831206234;-1.20026738815316;0.382257906059998;1.05127294611753;-0.0419783921868717
"M89.05966T145.97140";-0.0893055418330679;0.292307851990932;-0.948569825794896;0.275616616806675;0.716651244758049;-0.246700345927692
"M89.05963T219.13155";-0.225206621224241;0.00602158039014437;-1.0908367881895;0.523449741645873;0.84893027154368;-0.0623581841659653
"M89.05968T589.87502";0.0138031697698053;-0.801754593611338;-0.462343312841644;1.10903382985049;-0.275323560264156;0.416584467096842
"M91.05400T866.40137";-0.274623368959004;0.232219898378745;0.730619593429409;-0.432192014733503;-1.37531207300209;1.11928796488643
"M91.05429T247.49362";-0.36082461669287;-0.202229134526002;-0.63977437348887;-0.397220024439822;0.482615063113983;1.11743308603356
"M91.05399T164.80858";-0.235946337397214;0.165578641763296;-0.334347035018114;0.794760917320513;0.2842635378832;-0.674309724551688
"M92.04971T122.99154";-0.323745076181089;0.498742887168693;-0.799075698390616;0.543693480808836;0.621980911582379;-0.541596504988212
"M95.06030T127.30465";-0.265295158525795;1.11948542366419;-1.67839222225048;0.198806294345676;0.37081077366752;0.254584889098892
"M100.03945T123.16507";-1.06102667498642;0.309769906882102;-0.58371662881859;0.880417785710769;-0.0171809796603653;0.471736590872504
"M101.09595T878.08153";-1.08690545360191;0.843815052315691;0.505175967599141;0.881957390005605;-1.52620631370647;0.382163357387946
"M102.04639T164.88356";-0.258013435938486;0.0226404307802909;-0.439252938981007;0.791118242327639;0.309655619833366;-0.426147918021796
"M102.04654T415.38678";-2.67438066234271;0.923180116033054;-0.255727000793996;1.34103858936611;0.281670842624186;0.384218115113349
"M103.05449T415.50289";-1.82907695599701;0.691214470850118;-0.412298626238376;1.27840075457966;0.401532588624175;-0.129772231818562
"M103.05443T164.88007";-0.0284165599076099;-0.0978454043182463;-0.221225624899764;0.867378869128112;0.11712045635929;-0.637011736361768
"M104.10731T97.37126";-0.263221884273608;-0.0964322269249936;-1.16656611465885;0.557284837845211;0.393710340598432;0.5752250474138
"M104.05789T415.50019";-2.78786500410431;0.738861715838172;0.0288792167168798;1.21553175523693;0.594476373161413;0.210115943150915
"M104.05764T164.88007";-0.198653018050877;0.0731309553120152;-0.481145674247447;0.78348741262688;0.285770170204279;-0.462589845844835
"M105.03389T199.01146";-1.08581850978491;0.723768742952056;0.0945550945550048;1.29990537727508;0.434548032651375;-1.4669587376486
"M105.06976T864.04149";-0.945117249696073;-0.561149067318735;1.21539817547603;0.373160223585399;-0.721503522373506;0.639211440326894
"M105.07001T370.49620";-1.79338645913976;0.739343755041483;-1.23443070845725;1.14922020408652;0.707638232045731;0.431614976423274
"M106.03686T198.73290";-1.56733957333432;0.56158642658104;-0.106224457086286;1.14771420713952;0.411547309446131;-0.447283912746078
"M106.06519T297.52803";-1.3435047641051;0.0976388412101621;0.617599738889779;-0.471718061084645;0.172747733711031;0.927236511378773
"M106.07331T370.49620";-2.96608627256093;0.976278173095215;-0.948449350567181;1.27854317378044;0.883250451695287;0.776463824557167
"M106.06508T207.08880";-0.887394018598205;1.26484045579118;-1.18925723979767;0.229161072928723;0.966131315804799;-0.383481586128826
"M107.04927T822.31211";-0.476598170430161;0.868465063271186;-0.518800814079461;0.109631345578652;0.244167860910357;-0.226865285250551
"M107.04878T947.92991";-0.44187021701001;-0.154053031800286;-1.07586841536559;0.754878000604676;0.516738274008251;0.400175389562947
"M108.04451T122.97575";-0.288050731142162;0.571208188307122;-0.9155834244465;0.642049773513293;0.367780133712296;-0.377403939944049
"M108.05245T822.23468";-0.467570894696966;0.776088036377525;-0.562097444162408;-0.0455826988228716;0.348471970990143;-0.0493089696854087
"M109.04792T122.99154";-0.484313311133037;0.477675111137838;-0.797610648103339;0.608506914424609;0.52222239456799;-0.326480460894056
"M109.07573T268.84957";2.97077178917761;-0.73694818573457;-2.21737900246205;-0.456105694853881;-0.291573990656433;0.731235084529322
"M111.02047T557.86884";0.0969278856081938;-0.185752569225108;0.701015501276464;0.416700282425573;-0.289975060172047;-0.738916039913075
"M111.11712T482.32035";-0.773707299653765;0.327703181425788;0.257446320908539;0.65628180027891;-0.222735950720211;-0.244988052239253
"M111.11697T1164.96786";-1.360377806597;0.32295919992339;0.0898118867119042;0.516717936595369;0.241443218083906;0.189445565282446
"M112.05085T100.19148";-0.461192261811306;0.222273261702132;-0.507999473557176;0.630407787270794;0.131605285556565;-0.0150945991610325
"M112.12020T482.32035";-0.793793198877597;0.0209447250775488;0.413996041577229;0.310409618955493;-0.0520792400352351;0.100522053302552
"M112.99978T869.61035";-1.16438700685391;1.15006142800576;0.0379092709789053;0.130024469337335;-1.30366958947385;1.15006142800576
"M113.03496T100.69439";0.295515424117454;0.178027419142909;-0.587279099071432;0.521034582276085;0.688750329032101;-1.0960486554971
"M114.09141T288.19469";-0.26936973628355;0.395123165469837;-0.438734308238566;0.745569099923362;-0.29105114770212;-0.141537073168955
"M114.12775T593.13930";-0.0771350204054357;0.507259251075123;-1.68938791888512;0.914684359851046;0.257806878504684;0.0867724498597036
"M114.12767T396.27238";-0.483015830020778;-0.126824923582423;-1.0312355766338;1.17055513972551;0.199406190536388;0.271114999975119
"M114.09135T199.33562";0.586864256149902;1.09233991764678;1.27268199371386;-0.79643308250257;-1.05121825787354;-1.10423482713444
"M115.05432T233.30313";-0.117997204164189;0.274067884244119;0.386833532665561;0.350583373255982;-0.0579161068923316;-0.835571479109149
"M115.03909T123.56884";-1.04928611950049;0.566595893505975;-0.34022199932407;0.448086452434875;-0.289473299883959;0.664299072767662
"M115.13113T592.58001";0.161767062692309;0.561400451774598;-2.21266822801826;0.914559215759446;0.304337764301013;0.270603733490891
"M115.11187T814.58639";-0.50071002591588;0.105647404058717;0.227969853322802;0.825364292173962;-0.85251593740657;0.194244413766975
"M115.09467T198.92614";0.452929065557538;1.04601480946233;1.28156682161347;-0.78324049249999;-0.78324049249999;-1.21402971163336
"M115.09461T263.18788";0.385329900060802;1.17135836661059;-3.41547034394346;0.674570093447589;0.601476452980179;0.582735530844304
"M116.10715T463.69832";0.220679427573274;0.319763453444582;-0.488555821266382;0.900950331091509;-0.727019859750584;-0.225817531092399
"M116.05795T233.30313";-0.151400028333586;0.204039861897052;0.71784815018135;0.0624195433161303;-0.238861503007304;-0.594046024053657
"M116.07089T97.95817";0.560907248253365;0.32824415899509;0.298762911272139;0.774492803475536;-1.17269354781144;-0.789713574184706
"M117.05776T233.44989";-0.0545520129298821;0.333475211547766;0.354651369618507;0.318304540621671;-0.0768620362841486;-0.875017072573906
"M118.08633T211.36548";0.163764989561423;-0.483589316301231;1.31771622457049;-0.408370491180594;-0.117151055975585;-0.472370350674496
"M118.08632T484.50287";-1.87484153758207;0.451952538685867;0.190259324706368;0.627541056411551;0.292487699171271;0.312600918607002
"M118.08631T361.09365";-0.661392430869985;1.22404307824141;-0.868392747417704;0.508580818121858;-0.188929529527621;-0.0139091885479664
"M118.08629T797.94835";-0.681964558423605;0.119753666773482;0.305085752293593;0.815227576723169;-1.31691830063198;0.758815863265349
"M119.03525T141.01491";-1.78531049936629;-0.666445084624555;0.719535562657024;0.482787683352276;1.00813248428736;0.241299853694179
"M119.03524T228.79788";-1.06666959065409;-1.02217561192706;-1.31922954517903;0.853241213047567;0.968283858993425;1.58654967571919
"M119.08779T858.91195";-0.853911843918892;1.12237774154117;1.20472072770485;-0.884486856982481;-0.834740459929641;0.246040691584993
