"X064.EPK83_m_Mzb1_ESI.mzML";"X064.EPK88_m_Mzb1_ESI.mzML";"X064.EPK94_m_Mzb1_ESI.mzML";"X64Z.61012_m_WT_ESI.mzML";"X64Z.61014_m_WT_ESI.mzML";"X64Z.61015_m_WT_ESI.mzML"
"M57.08131T1428.18786";-0.321542424867644;0.286250559905367;1.17078411764221;-0.261140164025996;-0.0298072056243147;-0.844544883029628
"M57.23559T1428.09065";0.408813652123444;-1.0100177456997;-0.153473421445439;0.213560562567154;0.448317641810879;0.0927993106436651
"M69.06960T482.39182";0.0762677347988849;0.6584175024183;-0.685327188945;0.439193276225236;0.202417237676269;-0.690968562173702
"M76.03926T249.25230";-1.17584680207841;-0.369819706445051;0.533219155342344;0.159844707628306;0.44168544322193;0.410917202330887
"M80.04936T147.43359";-0.440534304717509;0.202697696496118;-0.0351574432079575;0.668254848364778;-0.15271668733079;-0.242544109604658
"M81.05274T147.57870";0.0030067052222725;0.468729845627518;-0.137625729689429;0.401451656039723;0.333117896857502;-1.06868037405758
"M86.09652T96.87969";-1.10412448285182;0.342451697709783;-0.366476386684988;0.268579334210445;0.678031617860205;0.18153821975639
"M87.04389T757.00530";0.354471875663682;0.390304380441929;-0.683149860819506;0.556949086438722;-0.17838673493139;-0.440188746793448
"M87.08057T889.38324";-0.517422337457947;-0.517422337457947;0.499726501851685;-0.0128452445908311;-0.332332237201287;0.880295654856322
"M88.02143T215.53780";0.828703557901052;-0.448033665907998;-0.513213049293386;-0.266481332833978;0.289425075629594;0.109599414504701
"M89.05959T285.72125";0.0689403686709439;1.03413384832026;-0.0933014298345271;-0.00900548724377671;-0.515585295011705;-0.485182004901202
"M89.05971T146.26454";0.295091339938999;0.771258848341678;-0.351575410387603;0.165177144708655;-0.311454401414733;-0.568497521187004
"M89.05957T590.42829";0.133612084001511;-0.788079327183158;-0.544095784931378;1.2507174180497;0.201607690452881;-0.253762080389551
"M89.05966T219.26387";0.40320069167585;0.928432715460222;-0.359348174080937;-0.0228892657710987;-0.278229503776334;-0.671166463507702
"M91.05407T864.58760";-0.568587610411592;0.338690710916591;-0.356329041719986;0.418088693047728;-1.05381412547425;1.22195137364151
"M91.05424T248.39462";-1.30789727873533;-0.14895293716347;0.49344037293526;0.218808494258008;0.435313566469553;0.309287782235968
"M91.05399T165.15355";-0.247139249554456;0.2194668452583;0.255463153355704;0.421471036960064;-0.225188631244127;-0.424073154775506
"M92.04966T123.53850";0.268050666357506;0.0517639623033027;-1.1652631684398;0.915928010417815;0.491686154688125;-0.562165625326946
"M95.06036T127.81341";0.901332706246726;-0.717104571686432;-0.734672330582399;0.191789279293784;0.0354995702992792;0.323155346429047
"M97.84599T1439.04698";1.20446756887393;1.01502057852769;-0.959117654735078;0.414374815192316;-1.42657809168803;-0.248167216170831
"M98.98433T891.46324";-0.389650150178381;0.562768268150699;0.0388633189174268;1.73477902574418;-1.98562378155134;0.0388633189174268
"M100.03942T123.68402";0.0508492907545385;0.460455426840506;-0.146993683922649;0.0825991907772477;0.248492895256358;-0.695403119706002
"M101.09594T881.64290";0.161634063555365;0.000671763526838445;-0.240662868973;0.418204329041033;0.399518451130185;-0.739365738280414
"M102.04655T417.08460";0.735322087709432;0.783234331790892;-2.08475929364332;0.409465239023658;0.650164545965157;-0.493426910845817
"M102.04636T165.42542";-0.368264124990984;-0.239389438425619;0.0321981226544199;0.12258432688092;0.603064213689076;-0.150193099807793
"M103.05448T417.02156";0.62530985987208;0.784156616150807;-1.18002221017544;0.275166624253042;0.309155945492703;-0.813766835593174
"M103.05437T165.41474";-0.391477929888382;-0.122664044432958;0.42213099868685;-0.122664044432958;0.42213099868685;-0.207455978619383
"M104.05785T417.02156";0.631956458297475;0.714949845899266;-1.23624425539986;0.214117430828097;0.460450641053044;-0.785230120678014
"M104.05760T165.41474";-0.212184831783506;-0.56369118098889;0.141760404461921;0.244897557073934;0.555915731683328;-0.166697680446814
"M104.10723T98.20224";-0.212027843549564;-0.783195390447906;0.504042036896153;0.180368028902183;0.413544064247473;-0.10273089604836
"M105.03398T200.04569";1.049776903418;0.650413546843108;-1.20406025864784;-0.146429317926619;0.158847476222473;-0.508548349909114
"M105.07009T372.12226";1.04618403934335;0.407626824757912;-1.63053145753054;0.380756840021174;0.546987426393106;-0.751023672985003
"M106.03694T200.04569";1.07512881311724;0.594834651889263;-1.26517302062238;-0.0407435567268076;0.201188788802666;-0.565235676459982
"M106.07341T373.29327";1.22234564612855;0.503065176497043;-2.02108006028291;0.149449017712499;0.715676050816057;-0.569455830871242
"M106.06511T207.92708";-1.94240421518458;-0.0811835418297852;0.291895399843974;1.07223322121556;0.713871371788481;-0.0544122358336529
"M107.04941T822.14031";-0.358638527737809;0.330187082648482;-0.32252135788139;0.690430252174719;0.235276149569358;-0.574733598773353
"M108.04448T123.39336";-0.253172814868857;-0.230336790419904;-0.506642896570695;0.874487679441822;0.18928763173508;-0.0736228093174376
"M108.05260T821.86743";-0.272978067424083;0.171919242254987;-0.495372599700868;0.551869290388184;0.489772715581072;-0.445210581099301
"M108.05249T1151.40408";-0.694526456945705;-1.0538102364741;0.198715265244668;0.13233061355884;0.915641558737585;0.501649255878703
"M109.04787T123.39336";-0.493096056299118;-0.246008671067004;-0.477516495476079;0.812210156881922;0.392298104380583;0.0121129615796958
"M109.07577T299.71368";-0.452729877866691;2.4432613175904;-0.101877862595778;-1.45718835289721;0.36225608409757;-0.793721308328283
"M110.10456T837.45554";0.0034841962741085;0.574771717461367;-0.369903820655551;0.441705542090546;0.00681009716510754;-0.656867732335578
"M111.02048T557.07955";-0.481219522937247;0.659205456214296;-1.19390433411446;1.08782923745559;-0.494323424021625;0.422412587403445
"M111.00800T1131.53040";0.043830910633614;-0.771722114763886;0.0513490772503504;-0.0210214827970283;0.828667282794844;-0.131103673117898
"M111.11710T482.48012";0.0300381178330334;0.530599962303322;-0.62242729471973;0.553155845249885;0.242020324168503;-0.733386954835008
"M111.11702T1164.90092";-0.628113200306138;0.0166131788219615;-0.232797391818506;0.358187875475195;0.465438153121371;0.0206713847061153
"M112.05086T100.65595";-0.850211887657592;0.134330237356876;0.229044922379625;0.134330237356876;0.000271733445745131;0.352234757118487
"M112.12017T482.39182";0.238337696451761;0.416729138147205;-0.635146027276806;0.5022111658603;0.175180170537395;-0.697312143719852
"M112.08672T102.07701";0.807295964996705;-0.685837735222722;-1.91786710606698;0.388075127466329;-0.277726951030807;1.68606069985748
"M113.03493T101.32182";-0.400733024016904;-0.022987659129821;0.136899080343866;0.845834474209697;-0.110474860851107;-0.448538010555746
"M112.99990T877.49220";-2.23121823217329;1.58545824020783;-2.58209659087563;1.26134562331782;0.598983564827394;1.36752739469588
"M113.05291T100.41096";-0.651562993947803;-0.228631989966033;0.336283465742422;0.229063801523678;0.191488299647971;0.123359416999756
"M114.12773T594.31058";0.000833517354881714;0.283482001229774;0.891289516921112;0.000833517354881714;-0.00546024107931628;-1.17097831178134
"M114.09145T288.72372";-0.54806931012092;0.252079929652554;-0.146761900658362;0.744498113444913;-0.203545272278316;-0.0982015600398763
"M114.12769T396.54112";-0.57250640850804;0.494245501168543;0.668938418268107;-0.076230976256306;-0.38959556587902;-0.124850968793262
